■ 일별 박스오피스,,,,,,,,,,,,,,,,,,,,,
- 조회일: 2025-09-06,,,,,,,,,,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,,,,,,,,,,
▶ 검색조건 [ 조회기간: 2025-08-29~2025-09-05???영화구분: 전체???국적: 한국???지역: 전체 ],,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
●2025년 09월 05일(금),,,,,,,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액 ,매출액,매출액증감,매출액증감율(전일대비) ,누적매출액 ,관객수 ,관객수증감(전일대비) ,관객수증감율(전일대비) ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
,,,,점유율 ,(전일대비) ,,,,,,,,,,,,,,,,
35,전지적 독자 시점,2025-07-23,"71,500",0.0%,"-308,000",-81.2%,"10,049,231,760",6,-34,-85.0%,"1,060,780",1,1,한국,한국,리얼라이즈픽쳐스(주),롯데컬처웍스(주)롯데엔터테인먼트,15세이상관람가,"판타지,액션",김병우,"안효섭,이민호,채수빈,신승호,나나,지수,권은성,박호산,최영준,이석,정성일,조성희,은수,이유진,문우진,정찬훈,노정현"
36,우리 둘 사이에,2025-07-30,"50,000",0.0%,0,0.0%,"24,335,100",5,-1,-16.7%,"2,852",1,1,한국,한국,(주)영화사진,㈜인디스토리,12세이상관람가,드라마,성지혜,"김시은,설정환,오지후,강말금"
37,꼬마마법사 주니토니,2025-07-26,"46,000",0.0%,"-589,100",-92.8%,"509,844,400",4,-62,-93.9%,"58,498",1,1,한국,한국,,"씨제이 씨지브이(CJ CGV)(주),와이드 릴리즈(주)",전체관람가,애니메이션,서동해,"김연우,김은아,정재헌,엄상현,한만중,장미,이소영,홍소영,이민규,김단"
37,노이즈,2025-06-25,"37,000",0.0%,"-34,000",-47.9%,"16,758,804,110",4,-4,-50.0%,"1,707,626",3,3,한국,한국,(주)화인컷,(주)바이포엠스튜디오,15세이상관람가,"공포(호러),스릴러",김수진,"이선빈,김민석,한수아,류경수,전익령,백주희,안석현,이은미"
39,스피릿 핑거스! 3화,2025-08-27,"21,000",0.0%,0,0.0%,"490,000",3,0,0.0%,70,1,1,한국,한국,주식회사 넘버쓰리픽쳐스,주식회사 넘버쓰리픽쳐스,12세이상관람가,"드라마,멜로/로맨스",이철하,"박지후,조준영,최보민,박유나"
39,인디스데이 8월 단편,,"22,000",0.0%,"-3,000",-12.0%,"167,000",3,-2,-40.0%,24,1,1,한국,한국,,,,드라마,,
39,오키나와 블루노트,2025-07-23,"21,000",0.0%,"-51,000",-70.8%,"6,899,920",3,-8,-72.7%,753,1,1,한국,한국,(주)와우,(주)와우,15세이상관람가,드라마,조성규,"김동완,황승언"
39,스피릿 핑거스! 4화,2025-08-27,"21,000",0.0%,"7,000",50.0%,"448,000",3,1,50.0%,64,1,1,한국,한국,주식회사 넘버쓰리픽쳐스,주식회사 넘버쓰리픽쳐스,12세이상관람가,"드라마,멜로/로맨스",이철하,"박지후,조준영,최보민,박유나"
43,녹턴,2022-08-18,"9,000",0.0%,"5,000",125.0%,"81,991,100",2,0,0.0%,"11,628",1,2,한국,한국,포이에티케,(주)시네마달,12세이상관람가,다큐멘터리,정관조,"은성호,은건기,손민서"
43,아이 캔 스피크,2017-09-21,"15,000",0.0%,"7,000",87.5%,"25,589,059,886",2,1,100.0%,"3,288,624",2,2,한국,한국,주식회사 영화사 시선,"(주)마노엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,(주)리틀빅픽쳐스",12세이상관람가,코미디,김현석,"나문희,이제훈,박철민,염혜란,성유빈,김소진,이상희,정연주,이지훈,손숙,이재인,최수인,이대연,박준서,이정현,홍상원,황연희,우지현,이신성,우상기,이정현,손성찬,정원창,김자영,김경덕,손경원,설창희,정태야,추연규,이승민,이범규,김선경"
43,승리의 시작,2025-06-19,"14,000",0.0%,"-462,000",-97.1%,"42,617,800",2,-66,-97.1%,"5,115",1,1,한국,한국,퓨어웨이픽쳐스,퓨어웨이픽쳐스,12세이상관람가,다큐멘터리,권순도,신유환
43,한여름의 판타지아,2015-06-11,"14,000",0.0%,"14,000",100.0%,"301,024,258",2,2,100.0%,"38,522",1,1,한국,"한국,일본",(주)모쿠슈라,㈜인디스토리,전체관람가,드라마,장건재,"김새벽,이와세 료,임형국"
47,처제의 떡정,2025-09-01,"1,000",0.0%,"1,000",100.0%,"1,000",1,1,100.0%,1,1,1,한국,한국,(주)까멜리아이엔티,(주)까멜리아이엔티,청소년관람불가,멜로/로맨스,김태수,
47,일과 날,2025-07-16,"6,000",0.0%,"-10,000",-62.5%,"12,349,400",1,-1,-50.0%,"1,427",1,1,한국,한국,비우무비,스튜디오 에이드,전체관람가,다큐멘터리,"박민수,안건형",
47,새엄마의 맛,2025-09-01,"1,000",0.0%,"1,000",100.0%,"1,000",1,1,100.0%,1,1,1,한국,한국,유한회사 스튜디오루나,유한회사 스튜디오루나,청소년관람불가,"성인물(에로),멜로/로맨스",김태수,
47,극장판 다이노맨: 공룡산의 비밀,2025-07-25,"8,000",0.0%,"-155,000",-95.1%,"62,617,750",1,-31,-96.9%,"9,156",1,1,한국,한국,"(주)스튜디오버튼 ,(주)플레이그램",(주)플레이그램,전체관람가,애니메이션,김호락,
47,"맛있는 엄마들 : 새엄마, 친구엄마, 엄마친구",,"6,000",0.0%,"6,000",100.0%,"6,000",1,1,100.0%,1,1,1,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,,
합계,,,"243,341,600",,,,"279,094,031,409","25,773",,,"33,524,031","1,423","2,948",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
●2025년 08월 31일(일),,,,,,,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액 ,매출액,매출액증감,매출액증감율(전일대비) ,누적매출액 ,관객수 ,관객수증감(전일대비) ,관객수증감율(전일대비) ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
,,,,점유율 ,(전일대비) ,,,,,,,,,,,,,,,,
1,좀비딸,2025-07-30,"761,085,990",78.1%,"-89,417,100",-10.5%,"50,697,471,610","78,596","-8,559",-9.8%,"5,349,773",824,"2,343",한국,한국,스튜디오엔(주),(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,"코미디,드라마",필감성,"조정석,이정은,조여정,윤경호,최유리,이주미"
2,킹 오브 킹스,2025-07-16,"70,634,000",7.3%,"24,418,300",52.8%,"12,228,457,576","7,867","2,887",58.0%,"1,296,252",188,199,한국,한국,(주)모팩스튜디오,(주)디스테이션,전체관람가,애니메이션,장성호,"이병헌,진선규,이하늬,양동근,차인표,권오중,장광,피어스 브로스넌,오스카 아이삭,케네스 브래너,우마 서먼,마크 해밀,포레스트 휘테커,벤 킹슬리,로만 그리핀 데이비스"
3,악마가 이사왔다,2025-08-13,"48,449,920",5.0%,"-10,281,680",-17.5%,"3,963,438,310","5,086","-1,032",-16.9%,"417,257",315,386,한국,한국,(주)외유내강,(주)씨제이이엔엠,12세이상관람가,"미스터리,코미디",이상근,"임윤아,안보현,성동일,주현영"
4,독립군: 끝나지 않은 전쟁,2025-08-13,"13,800,300",1.4%,"5,073,700",58.1%,"372,410,020","1,510",562,59.3%,"41,194",65,70,한국,한국,"주식회사 블루필름웍스,제니필름",주식회사 블루필름웍스,전체관람가,다큐멘터리,문승욱,조진웅
5,엔하이픈 브이알콘서트 : 이머전,2025-08-08,"30,294,000",3.1%,"-3,366,000",-10.0%,"575,226,000",918,-102,-10.0%,"17,722",1,9,한국,한국,(주)어메이즈브이알코리아,(주)어메이즈브이알코리아,전체관람가,드라마,김경국,
6,베베핀 극장판: 사라진 베베핀과 핑크퐁 대모험,2025-07-24,"8,121,500",0.8%,"2,105,600",35.0%,"2,058,536,830",856,214,33.3%,"223,723",56,60,한국,한국,더핑크퐁컴퍼니(주),(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,변희선,"조경이,엠머슨브룩김,이현경,김해나,강은애"
7,온리 갓 노우즈 에브리띵,2025-08-22,"6,195,500",0.6%,"-357,500",-5.5%,"193,024,520",741,-7,-0.9%,"21,956",66,71,한국,한국,(주)백그림,(주)트리플픽쳐스,15세이상관람가,"미스터리,스릴러",백승환,"신승호,한지은,박명훈,전소민,이중옥,이지현,유성주,신서우,정은경,이재환,유지혁,김일현,유병훈,이병수,송동환,백주환,이창주,남중규,유재명,양권석,이윤화,주상현,배성민,황원규,강해빈"
8,고고다이노 극장판: 게코도마뱀의 꿈,2025-07-30,"6,240,300",0.6%,"1,050,300",20.2%,"578,597,000",663,95,16.7%,"62,991",41,41,한국,한국,(주)모꼬지,(주)모꼬지,전체관람가,애니메이션,이원재,"임승미,원옥화,진양욱,조영철,우정민"
9,백산 - 의령에서 발해까지,2025-02-05,"2,971,000",0.3%,"693,500",30.5%,"125,093,500",535,125,30.5%,"18,801",18,18,한국,한국,(주)KNN,(주)드림팩트엔터테인먼트,전체관람가,다큐멘터리,진재운,
10,식스데이즈,2025-08-13,"10,494,000",1.1%,"-2,222,000",-17.5%,"989,550,000",477,-101,-17.5%,"45,159",25,27,한국,한국,(주)MBC,"씨지브이 아이스콘,씨제이포디플렉스 주식회사",전체관람가,"드라마,다큐멘터리",,
11,지리멸렬,,"1,017,000",0.1%,"-165,000",-14.0%,"6,770,500",339,-55,-14.0%,"2,258",71,86,한국,한국,한국영화아카데미,㈜인디스토리,12세이상관람가,코미디,봉준호,"유연수,윤일주,김뢰하,신동환"
12,다른 것으로 알려질 뿐이지,2025-08-27,"2,983,400",0.3%,"1,399,900",88.4%,"18,908,950",287,141,96.6%,"1,853",28,28,한국,한국,(주)보더리스필름,영화로운 형제,15세이상관람가,"드라마,멜로/로맨스",조희영,"공민정,정보람,정회린,감동환,류세일,유의태"
13,첫여름,,"594,000",0.1%,"132,000",28.6%,"48,885,000",198,44,28.6%,"15,475",27,29,한국,한국,한국영화아카데미,한국영화아카데미,15세이상관람가,드라마,허가영,"허진,정인기"
14,비밀일 수밖에,2025-09-10,"1,342,500",0.1%,"-1,958,500",-59.3%,"4,643,500",120,-139,-53.7%,379,1,1,한국,한국,"(주)에이디사공육,주식회사 슈아픽처스","주식회사 슈아픽처스,(주)에이디사공육",12세이상관람가,"드라마,코미디",김대환,"장영남,류경수,스테파니 리,옥지영,박지일,박지아"
15,여름이 지나가면,2025-07-09,"1,384,000",0.1%,"1,074,000",346.5%,"89,621,300",107,70,189.2%,"9,823",4,4,한국,한국,㈜스튜디오 하이파이브,(주)엣나인필름,15세이상관람가,드라마,장병기,"이재준,최현진,최우록,고서희,강길우"
16,강령: 귀신놀이,2025-08-06,"1,206,000",0.1%,"-472,500",-28.2%,"704,723,800",100,-41,-29.1%,"72,162",17,17,한국,한국,(주)이오콘텐츠그룹,(주)스튜디오디에이치엘,15세이상관람가,"공포(호러),미스터리,스릴러",손동완,"김예림,이찬형,서동현,오소현,김은비,박서연,이다은,윤별하,유승아,정상훈,이진주,윤혜진,조수경,윤대성,노상현,김용선,구민혁,이경현,손평형,김지예,조예명,박승렬,김민호,손호은,김도훈,김진주,임세령,정유진,백가은,유영현"
17,검은 령,2025-08-27,"930,000",0.1%,"-204,000",-18.0%,"9,575,500",95,-13,-12.0%,"1,090",21,24,한국,한국,(주)날개엔터테인먼트,"(주)제이앤씨미디어그룹,와이드 릴리즈(주)",15세이상관람가,공포(호러),김현준,"아누팜 트리파티,임도화,송승현,김병춘,서동원,김혜나,곽수진,윤준원"
18,제26회 대구단편영화제 경쟁6,,"450,000",0.0%,"450,000",100.0%,"450,000",90,90,100.0%,90,1,1,한국,한국,,,,"드라마,다큐멘터리",,
19,무명 無名,2025-06-25,"711,000",0.1%,"-851,000",-54.5%,"646,033,500",89,-53,-37.3%,"68,272",2,2,한국,한국,재단법인 온누리선교재단(CGNTV),커넥트픽쳐스(주),12세이상관람가,다큐멘터리,유진주,"하정우,김중희"
20,3670,2025-09-03,"1,022,000",0.1%,"1,022,000",100.0%,"6,937,000",73,73,100.0%,736,1,1,한국,한국,오롯필름,(주)엣나인필름,15세이상관람가,"드라마,멜로/로맨스",박준호,"조유현,김현목,조대희,배한솔,임지형,전두식,하승우,윤설,김진이,차미경,유태규"
21,베를린 리포트,1991-06-08,"164,000",0.0%,"76,000",86.4%,"1,306,000",67,23,52.3%,638,1,3,한국,한국,(주)모가드코리아,(주)프리즘웍스,"연소자관람불가,15세이상관람가","드라마,전쟁",박광수,"강수연,안성기,문성근"
22,THE 자연인,2025-08-20,"525,000",0.1%,"-1,409,000",-72.9%,"14,407,200",66,-156,-70.3%,"1,626",8,8,한국,한국,스톤워크,스톤워크,12세이상관람가,"코미디,미스터리",노영석,"변재신,정용훈,신운섭,이란희"
22,꼬마마법사 주니토니,2025-07-26,"635,100",0.1%,"-671,400",-51.4%,"509,798,400",66,-77,-53.8%,"58,494",7,8,한국,한국,,"씨제이 씨지브이(CJ CGV)(주),와이드 릴리즈(주)",전체관람가,애니메이션,서동해,"김연우,김은아,정재헌,엄상현,한만중,장미,이소영,홍소영,이민규,김단"
24,추적,2025-08-06,"392,000",0.0%,"-544,000",-58.1%,"139,941,900",49,-52,-51.5%,"15,365",2,2,한국,한국,뉴스타파 필름,(주)엣나인필름,12세이상관람가,다큐멘터리,최승호,
25,홈커밍,,"181,000",0.0%,"181,000",100.0%,"181,000",46,46,100.0%,46,1,1,한국,한국,,,,드라마,,
26,식사이론,2025-08-20,"180,000",0.0%,"16,000",9.8%,"12,782,000",45,4,9.8%,"3,194",13,14,한국,한국,"주식회사 알바트로스픽처스,데저트블룸픽처스 주식회사",롯데컬처웍스(주)롯데시네마,12세이상관람가,"코미디,판타지,드라마",,홍진기
27,전지적 독자 시점,2025-07-23,"379,500",0.0%,"6,000",1.6%,"10,049,160,260",40,1,2.6%,"1,060,774",1,1,한국,한국,리얼라이즈픽쳐스(주),롯데컬처웍스(주)롯데엔터테인먼트,15세이상관람가,"판타지,액션",김병우,"안효섭,이민호,채수빈,신승호,나나,지수,권은성,박호산,최영준,이석,정성일,조성희,은수,이유진,문우진,정찬훈,노정현"
28,무명객,,"68,000",0.0%,"68,000",100.0%,"1,297,000",34,34,100.0%,641,1,4,한국,한국,남아진흥,(주)프리즘웍스,15세이상관람가,액션,김시현,"모사성,김지혜,이예민,김기주,유현"
29,헤어질 결심,2022-06-29,"307,000",0.0%,"-83,000",-21.3%,"19,785,530,678",31,-8,-20.5%,"1,908,880",1,1,한국,한국,모호필름,(주)씨제이이엔엠,15세이상관람가,"미스터리,멜로/로맨스",박찬욱,"박해일,탕웨이,이정현,고경표,김신영,정영숙,유승목,서현우,정이서,이학주,정소리,신안진,김도연,고민시,차서원,주인영,윤성원,최선자,진용욱,안진상,박정민,박용우,정하담,최대훈,김미화,곽은진,안성봉,김성곤,문순주,현직,한서울,김도담,문정대,유인혜,권혁성,차상도,강경수,유태오,이지하,전성애,이경민,이용녀,김귀례,김도담,유다솜,김민준,김국진,김상현"
30,어머니의 가계부,,"150,000",0.0%,"150,000",100.0%,"735,000",30,30,100.0%,147,1,1,한국,한국,,,,다큐멘터리,성승택,"윤종생,성순경,성승택"
30,사랑방 손님과 어머니,,"90,000",0.0%,"90,000",100.0%,"10,768,500",30,30,100.0%,"5,128",1,1,한국,한국,,,,"드라마,멜로/로맨스",신상옥,"최은희,전영선,김진규,도금봉"
32,베베,,"107,000",0.0%,"107,000",100.0%,"107,000",29,29,100.0%,29,1,1,한국,한국,,,,드라마,,
33,기억 샤워 바다,,"105,000",0.0%,"105,000",100.0%,"105,000",21,21,100.0%,21,1,1,한국,한국,,,,다큐멘터리,임흥순,
34,야당: 익스텐디드 컷,2025-08-06,"180,000",0.0%,"114,000",172.7%,"244,416,020",19,11,137.5%,"27,250",5,5,한국,한국,(주)하이브미디어코프,메가박스중앙(주) 플러스엠 엔터테인먼트,청소년관람불가,"범죄,액션",황병국,"강하늘,유해진,박해준,류경수,채원빈"
35,아가씨,2016-06-01,"170,000",0.0%,"-20,000",-10.5%,"35,229,805,891",17,-2,-10.5%,"4,289,905",1,1,한국,한국,"유한회사 아가씨에프에스,모호필름,(주)용필름",(주)씨제이이엔엠,청소년관람불가,"스릴러,드라마",박찬욱,"김민희,김태리,하정우,조진웅,김해숙,문소리,최병모,김인우,이용녀,조은형,장한순,이규정,이승준,이윤재,김시은,안성봉,박기륭,원근희,정인겸"
36,봄밤,2025-07-09,"40,000",0.0%,"19,000",90.5%,"77,159,400",11,8,266.7%,"8,977",2,2,한국,한국,월원영화사,(주)시네마달,15세이상관람가,드라마,강미자,"한예리,김설진,김선재,정명원,김승환,오다민"
36,오키나와 블루노트,2025-07-23,"72,000",0.0%,"40,000",125.0%,"6,878,920",11,6,120.0%,750,1,1,한국,한국,(주)와우,(주)와우,15세이상관람가,드라마,조성규,"김동완,황승언"
36,인생 세탁소,,"101,000",0.0%,"101,000",100.0%,"1,486,000",11,11,100.0%,195,1,1,한국,한국,,,,"가족,판타지,드라마",문숙희,"문희경,강진아,이아담,김유석,현대영"
39,된장이,2025-07-02,"31,000",0.0%,"31,000",100.0%,"27,111,700",10,10,100.0%,"3,284",1,1,한국,한국,한국영화아카데미,(주)영화특별시에스엠씨,12세이상관람가,"코미디,드라마",조한별,"강지영,이주원,유순웅,신민재,임윤비,나호숙,이문식,박상면,이천희,김준원,류재한,김나린,이석우"
40,제20회 제주영화제 트멍 초청,,"80,000",0.0%,"80,000",100.0%,"80,000",8,8,100.0%,8,1,1,한국,한국,,,,"드라마,애니메이션",,
40,노이즈,2025-06-25,"71,000",0.0%,"-9,000",-11.3%,"16,758,767,110",8,-2,-20.0%,"1,707,622",2,2,한국,한국,(주)화인컷,(주)바이포엠스튜디오,15세이상관람가,"공포(호러),스릴러",김수진,"이선빈,김민석,한수아,류경수,전익령,백주희,안석현,이은미"
42,우리 둘 사이에,2025-07-30,"50,000",0.0%,"19,000",61.3%,"24,285,100",6,2,50.0%,"2,847",2,2,한국,한국,(주)영화사진,㈜인디스토리,12세이상관람가,드라마,성지혜,"김시은,설정환,오지후,강말금"
43,하이파이브,2025-05-30,"45,600",0.0%,"23,600",107.3%,"17,543,216,520",4,1,33.3%,"1,893,286",1,1,한국,한국,(주)안나푸르나필름,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"코미디,액션",강형철,"이재인,안재홍,유아인,라미란,김희원,김수혁,오정세,신구,박진영,진희경,장광,박형수,유승목,안승균,오하늬,김원해,이동휘,현봉식,정다원,윤지수,문도선,박병렬,이태영,강효준,김종태,임채선,이환진,노익현,류경환,장준현,박우준,이규영,최은경,임한나,배한용,이승철,김희상,임서영,최동구,김태순,송병훈,윤정로,최원,김기남,한주미,황지아,나진수,김우택,유진호,김영조,김봉희,박경현,박복만,박노아,김민규"
44,스피릿 핑거스! 3화,2025-08-27,"21,000",0.0%,"-133,000",-86.4%,"469,000",3,-19,-86.4%,67,1,1,한국,한국,주식회사 넘버쓰리픽쳐스,주식회사 넘버쓰리픽쳐스,12세이상관람가,"드라마,멜로/로맨스",이철하,"박지후,조준영,최보민,박유나"
44,씨그널: 바다의 마지막 신호,2025-07-16,"15,000",0.0%,"-41,500",-73.5%,"21,853,360",3,-14,-82.4%,"2,426",1,1,한국,한국,"(주)보더레스랩,주식회사 망그로브","(주)보더레스랩,(주)스튜디오디에이치엘",전체관람가,다큐멘터리,"박정례,이지윤",
44,백! 스테이지,,"15,000",0.0%,"5,000",50.0%,"29,900,000",3,1,50.0%,"5,862",1,1,한국,한국,"(주)씨제이이엔엠,주식회사 스튜디오제로백",씨제이 씨지브이(CJ CGV)(주),12세이상관람가,드라마,방성준,"윤호,배재영,최문기,이상희"
47,스피릿 핑거스! 4화,2025-08-27,"14,000",0.0%,"-77,000",-84.6%,"427,000",2,-11,-84.6%,61,1,1,한국,한국,주식회사 넘버쓰리픽쳐스,주식회사 넘버쓰리픽쳐스,12세이상관람가,"드라마,멜로/로맨스",이철하,"박지후,조준영,최보민,박유나"
47,녹턴,2022-08-18,"4,000",0.0%,"-2,000",-33.3%,"81,982,100",2,-1,-33.3%,"11,626",1,2,한국,한국,포이에티케,(주)시네마달,12세이상관람가,다큐멘터리,정관조,"은성호,은건기,손민서"
합계,,,"974,119,610",,,,"173,892,312,475","99,419",,,"18,676,115","1,833","3,486",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
●2025년 08월 30일(토),,,,,,,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액 ,매출액,매출액증감,매출액증감율(전일대비) ,누적매출액 ,관객수 ,관객수증감(전일대비) ,관객수증감율(전일대비) ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
,,,,점유율 ,(전일대비) ,,,,,,,,,,,,,,,,
1,좀비딸,2025-07-30,"850,503,090",80.4%,"508,022,120",148.3%,"49,936,385,620","87,155","51,366",143.5%,"5,271,177",823,"2,462",한국,한국,스튜디오엔(주),(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,"코미디,드라마",필감성,"조정석,이정은,조여정,윤경호,최유리,이주미"
2,악마가 이사왔다,2025-08-13,"58,731,600",5.6%,"17,130,960",41.2%,"3,914,988,390","6,118","1,554",34.0%,"412,171",321,408,한국,한국,(주)외유내강,(주)씨제이이엔엠,12세이상관람가,"미스터리,코미디",이상근,"임윤아,안보현,성동일,주현영"
3,킹 오브 킹스,2025-07-16,"46,215,700",4.4%,"37,921,100",457.2%,"12,157,823,576","4,980","4,065",444.3%,"1,288,385",168,179,한국,한국,(주)모팩스튜디오,(주)디스테이션,전체관람가,애니메이션,장성호,"이병헌,진선규,이하늬,양동근,차인표,권오중,장광,피어스 브로스넌,오스카 아이삭,케네스 브래너,우마 서먼,마크 해밀,포레스트 휘테커,벤 킹슬리,로만 그리핀 데이비스"
4,엔하이픈 브이알콘서트 : 이머전,2025-08-08,"33,660,000",3.2%,"7,689,000",29.6%,"544,932,000","1,020",233,29.6%,"16,804",1,9,한국,한국,(주)어메이즈브이알코리아,(주)어메이즈브이알코리아,전체관람가,드라마,김경국,
5,독립군: 끝나지 않은 전쟁,2025-08-13,"8,726,600",0.8%,"-2,420,500",-21.7%,"358,609,720",948,-282,-22.9%,"39,684",58,62,한국,한국,"주식회사 블루필름웍스,제니필름",주식회사 블루필름웍스,전체관람가,다큐멘터리,문승욱,조진웅
6,온리 갓 노우즈 에브리띵,2025-08-22,"6,553,000",0.6%,"-6,772,200",-50.8%,"186,829,020",748,-858,-53.4%,"21,215",72,76,한국,한국,(주)백그림,(주)트리플픽쳐스,15세이상관람가,"미스터리,스릴러",백승환,"신승호,한지은,박명훈,전소민,이중옥,이지현,유성주,신서우,정은경,이재환,유지혁,김일현,유병훈,이병수,송동환,백주환,이창주,남중규,유재명,양권석,이윤화,주상현,배성민,황원규,강해빈"
7,베베핀 극장판: 사라진 베베핀과 핑크퐁 대모험,2025-07-24,"6,015,900",0.6%,"1,585,400",35.8%,"2,050,415,330",642,-75,-10.5%,"222,867",53,56,한국,한국,더핑크퐁컴퍼니(주),(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,변희선,"조경이,엠머슨브룩김,이현경,김해나,강은애"
8,식스데이즈,2025-08-13,"12,716,000",1.2%,"-2,310,000",-15.4%,"979,056,000",578,-105,-15.4%,"44,682",33,36,한국,한국,(주)MBC,"씨지브이 아이스콘,씨제이포디플렉스 주식회사",전체관람가,"드라마,다큐멘터리",,
9,고고다이노 극장판: 게코도마뱀의 꿈,2025-07-30,"5,190,000",0.5%,"4,038,000",350.5%,"572,356,700",568,421,286.4%,"62,328",43,43,한국,한국,(주)모꼬지,(주)모꼬지,전체관람가,애니메이션,이원재,"임승미,원옥화,진양욱,조영철,우정민"
10,백산 - 의령에서 발해까지,2025-02-05,"2,277,500",0.2%,"-7,450,500",-76.6%,"122,122,500",410,-899,-68.7%,"18,266",20,22,한국,한국,(주)KNN,(주)드림팩트엔터테인먼트,전체관람가,다큐멘터리,진재운,
11,지리멸렬,,"1,182,000",0.1%,"210,000",21.6%,"5,753,500",394,70,21.6%,"1,919",76,92,한국,한국,한국영화아카데미,㈜인디스토리,12세이상관람가,코미디,봉준호,"유연수,윤일주,김뢰하,신동환"
12,비밀일 수밖에,2025-09-10,"3,301,000",0.3%,"3,301,000",100.0%,"3,301,000",259,259,100.0%,259,2,2,한국,한국,"(주)에이디사공육,주식회사 슈아픽처스","주식회사 슈아픽처스,(주)에이디사공육",12세이상관람가,"드라마,코미디",김대환,"장영남,류경수,스테파니 리,옥지영,박지일,박지아"
13,THE 자연인,2025-08-20,"1,934,000",0.2%,"1,621,500",518.9%,"13,882,200",222,192,640.0%,"1,560",9,10,한국,한국,스톤워크,스톤워크,12세이상관람가,"코미디,미스터리",노영석,"변재신,정용훈,신운섭,이란희"
14,귀시,2025-09-17,"1,940,000",0.2%,"1,940,000",100.0%,"1,940,000",194,194,100.0%,194,1,1,한국,한국,"(주)제리굿컴퍼니,쟈니브로스(주)",(주)바이포엠스튜디오,15세이상관람가,공포(호러),홍원기,"유재명,문채원,서영희,원현준,솔라,차선우,배수민,서지수,손주연"
15,첫여름,,"462,000",0.0%,"-102,000",-18.1%,"48,291,000",154,-34,-18.1%,"15,277",25,26,한국,한국,한국영화아카데미,한국영화아카데미,15세이상관람가,드라마,허가영,"허진,정인기"
16,다른 것으로 알려질 뿐이지,2025-08-27,"1,583,500",0.1%,"-1,251,000",-44.1%,"15,925,550",146,-124,-45.9%,"1,566",21,21,한국,한국,(주)보더리스필름,영화로운 형제,15세이상관람가,"드라마,멜로/로맨스",조희영,"공민정,정보람,정회린,감동환,류세일,유의태"
17,꼬마마법사 주니토니,2025-07-26,"1,306,500",0.1%,"-95,500",-6.8%,"509,163,300",143,-60,-29.6%,"58,428",15,16,한국,한국,,"씨제이 씨지브이(CJ CGV)(주),와이드 릴리즈(주)",전체관람가,애니메이션,서동해,"김연우,김은아,정재헌,엄상현,한만중,장미,이소영,홍소영,이민규,김단"
18,무명 無名,2025-06-25,"1,562,000",0.1%,"203,000",14.9%,"645,322,500",142,-9,-6.0%,"68,183",1,1,한국,한국,재단법인 온누리선교재단(CGNTV),커넥트픽쳐스(주),12세이상관람가,다큐멘터리,유진주,"하정우,김중희"
19,강령: 귀신놀이,2025-08-06,"1,678,500",0.2%,"88,000",5.5%,"703,517,800",141,5,3.7%,"72,062",19,19,한국,한국,(주)이오콘텐츠그룹,(주)스튜디오디에이치엘,15세이상관람가,"공포(호러),미스터리,스릴러",손동완,"김예림,이찬형,서동현,오소현,김은비,박서연,이다은,윤별하,유승아,정상훈,이진주,윤혜진,조수경,윤대성,노상현,김용선,구민혁,이경현,손평형,김지예,조예명,박승렬,김민호,손호은,김도훈,김진주,임세령,정유진,백가은,유영현"
20,마지막 숙제,2025-09-03,"1,260,000",0.1%,"1,260,000",100.0%,"14,207,000",126,126,100.0%,"1,402",1,1,한국,한국,(주)스튜디오킬러웨일,"(주)이놀미디어,(주)스튜디오킬러웨일,(주)에스더블유콘텐츠",12세이상관람가,드라마,이정철,"엄태웅,박상면,이재준,최이나,윤현숙,정선우,이성종,전수경"
21,좋은 친구들,2014-07-10,"1,482,000",0.1%,"1,482,000",100.0%,"3,224,542,031",114,114,100.0%,"407,437",1,1,한국,한국,"오퍼스픽쳐스(유),굿초이스컷픽쳐스(주)",(주)씨제이이엔엠,청소년관람불가,"범죄,드라마",이도윤,"한도진,지성,주지훈,이광수,강봉성,최현희,이승우,이재형,최병모,최진호,남문철,김태준,강덕중,박상현"
